Sección	Palabra/Frase	Detalles
Expresiones Posicionales	En contra de y a favor de	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Posiciones opuestas<br><br>• <b>Traducción</b>: Against and in favor of<br><br>• <b>Ejemplos</b>:<br> - <i>""Estoy en contra de esa propuesta""</i> (I'm against that proposal)<br> - <i>""Estoy a favor de la iniciativa""</i> (I'm in favor of the initiative)</div>"
Verbos de Movimiento	Acercar vs. Asomar	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Verbos de proximidad y aparición<br><br>• <b>Traducción</b>:<br> - <b>""Acercar""</b>: To bring closer<br> - <b>""Asomar""</b>: To peek out, to appear<br><br>• <b>Ejemplo</b>: ""Se asoma al balcón"" (He/she peers out onto the balcony)</div>"
Expresiones de Confusión	No sé por dónde empezar	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Expresión de confusión o abrumamiento<br><br>• <b>Traducción</b>: I don't know where to start<br><br>• <b>Ejemplo</b>: ""No sé por dónde empezar a organizar esto"" (I don't know where to start organizing this)</div>"
"Construcciones con ""Dejar"""	Dejaron salir a X de [lugar] por [tiempo]	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Estructura para permitir salida<br><br>• <b>Traducción</b>: They let X out of [place] for [time]<br><br>• <b>Ejemplos</b>:<br> - <i>""Dejaron salir a los niños de sus cuartos""</i> (They let the children out of their rooms)<br> - <i>""Dejaron salir a los perros de sus jaulas por la mañana""</i> (They let the dogs out of their cages in the morning)</div>"
Expresiones de Aparición	Se asoma a mi suelo	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Aparece o se muestra parcialmente en mi suelo<br><br>• <b>Traducción</b>: Is showing/appearing on my floor<br><br>• <b>Ejemplo</b>: ""El agua se asoma a mi suelo"" (The water is showing/appearing on my floor)</div>"
Movilidad y Traslados	Nos mudábamos	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Acción en pasado de cambiar de vivienda o ubicación<br><br>• <b>Traducción</b>: We were moving/relocating<br><br>• <b>Tiempo verbal</b>: Pretérito imperfecto (acción habitual o en desarrollo en el pasado)<br><br>• <b>Ejemplo</b>: ""Nos mudábamos cada dos años por el trabajo de mi padre"" (We used to move every two years because of my father's job)</div>"
Movilidad y Traslados	Los mudaban / Los trasladaban	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Alguien movía a otras personas de ubicación<br><br>• <b>Traducción</b>: They were moving them / They were transferring them<br><br>• <b>Diferencias</b>:<br> - <b>""Mudar""</b>: Cambiar completamente de ubicación o vivienda<br> - <b>""Trasladar""</b>: Mover de un lugar a otro, no necesariamente permanente<br><br>• <b>Ejemplos</b>:<br> - <i>""Los mudaban a un nuevo edificio tras el incendio""</i> (They were relocating them to a new building after the fire)<br> - <i>""Los trasladaban en autobús al centro deportivo""</i> (They were transporting them by bus to the sports center)</div>"
Movilidad y Traslados	Salidas de campo	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Actividad académica o laboral fuera del lugar habitual<br><br>• <b>Traducción</b>: Field trips (academic context)<br><br>• <b>Contexto</b>: Ámbito educativo o profesional con propósito de aprendizaje o investigación<br><br>• <b>Ejemplos</b>:<br> - <i>""Organizaron salidas de campo para estudiar la flora local""</i> (They organized field trips to study the local flora)<br> - <i>""La salida de campo incluyó visitas a tres yacimientos arqueológicos""</i> (The field trip included visits to three archaeological sites)</div>"
Movilidad y Traslados	Excursiones	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Viaje recreativo o educativo de corta duración<br><br>• <b>Traducción</b>: Excursions, field trips<br><br>• <b>Ejemplos</b>:<br> - <i>""Las excursiones escolares son muy educativas""</i> (School excursions are very educational)<br> - <i>""Organizaron una excursión al museo para los estudiantes""</i> (They organized an excursion to the museum for the students)</div>"
Movilidad y Traslados	El transporte	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Medio para desplazar personas o mercancías<br><br>• <b>Traducción</b>: Transportation<br><br>• <b>Ejemplos</b>:<br> - <i>""El transporte público es eficiente en esta ciudad""</i> (Public transportation is efficient in this city)<br> - <i>""El costo del transporte aumentó este año""</i> (The cost of transportation increased this year)</div>"
Movilidad y Traslados	Expresiones de costo	"<div style=""text-align: left; width: 100%;"">• <b>""Es el mayor gasto"" (It is the biggest expense)<br><br>• ""El gasto mayor"" (The major expense)<br><br>• ""El mayor"" (The biggest/largest)<br><br>• ""El costo máximo"" (The maximum cost)<br><br>• Ejemplos</b>:<br> - <i>""El transporte es el mayor gasto para muchas familias""</i> (Transportation is the biggest expense for many families)<br> - <i>""Establecieron el costo máximo por persona""</i> (They established the maximum cost per person)</div>"
Expresiones Religiosas	Rogando a Dios	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Pidiendo a Dios con devoción o desesperación<br><br>• <b>Traducción</b>: Begging/praying to God<br><br>• <b>Ejemplo</b>: ""Estaba rogando a Dios que su hijo se recuperara"" (She was praying to God for her son to recover)</div>"
Expresiones Religiosas	Rogar	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Pedir con insistencia y humildad<br><br>• <b>Traducción</b>: To beg, to plead<br><br>• <b>Ejemplos</b>:<br> - <i>""Le rogué que me perdonara""</i> (I begged him/her to forgive me)<br> - <i>""Te ruego que consideres mi caso""</i> (I beg you to consider my case)</div>"
Expresiones Religiosas	Rezar / Orar	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Dirigirse a una divinidad en oración<br><br>• <b>Traducción</b>: To pray<br><br>• <b>Diferencia</b>:<br> - <b>""Rezar""</b>: Más asociado a oraciones establecidas o rituales<br> - <b>""Orar""</b>: Más asociado a comunicación personal con la divinidad<br><br>• <b>Ejemplos</b>:<br> - <i>""Reza el rosario todas las noches""</i> (He/she prays the rosary every night)<br> - <i>""Ora en silencio antes de dormir""</i> (He/she prays silently before sleeping)</div>"
Expresiones Religiosas	Ruegas a Dios cuando estás en medio del peligro	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: En situaciones de emergencia se tiende a suplicar con intensidad<br><br>• <b>Traducción</b>: You pray/beg God when you are in danger<br><br>• <b>Ejemplo</b>: ""Cuando el avión empezó a sacudirse, todos rogaban a Dios"" (When the plane started to shake, everyone was praying to God)</div>"
Expresiones Religiosas	Rezas cuando estás en calma	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: La oración como práctica regular en momentos de tranquilidad<br><br>• <b>Traducción</b>: You pray when you are calm<br><br>• <b>Ejemplo</b>: ""Reza cada noche antes de acostarse"" (He/she prays every night before going to bed)</div>"
Términos de Ingeniería	Petróleo	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Sustancia natural compuesta de hidrocarburos<br><br>• <b>Traducción</b>: Petroleum, oil<br><br>• <b>Ejemplo</b>: ""La economía del país depende del petróleo"" (The country's economy depends on oil)</div>"
Términos de Ingeniería	Crudo	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Petróleo sin refinar, en estado natural<br><br>• <b>Traducción</b>: Crude oil<br><br>• <b>Ejemplo</b>: ""El precio del crudo ha subido este mes"" (The price of crude oil has risen this month)</div>"
Términos de Ingeniería	Cálculo del diámetro de la tubería	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Determinar la medida del círculo interno de un tubo<br><br>• <b>Traducción</b>: Calculation of pipe diameter<br><br>• <b>Ejemplo</b>: ""El cálculo del diámetro de la tubería es crucial para el flujo adecuado"" (The calculation of the pipe diameter is crucial for proper flow)</div>"
Términos de Ingeniería	Cálculo del espesor del material de la tubería	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Determinar el grosor de la pared del tubo<br><br>• <b>Traducción</b>: Calculation of pipe wall thickness<br><br>• <b>Ejemplo</b>: ""El cálculo del espesor del material de la tubería depende de la presión que soportará"" (The calculation of the pipe material thickness depends on the pressure it will withstand)</div>"
Términos de Ingeniería	Espesor vs. Grosor	"<div style=""text-align: left; width: 100%;"">• <b>""Espesor""</b>: Término técnico (thickness - <b>technical term)<br><br>• ""Grosor""</b>: Término cotidiano (thickness - <b>everyday term)<br><br>• Ejemplos</b>:<br> - <i>""El espesor del material determina su resistencia""</i> (The thickness of the material determines its resistance)<br> - <i>""El grosor del libro impresiona""</i> (The thickness of the book is impressive)</div>"
Términos de Ingeniería	Las longitudes de tubería están estandarizadas	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Existen medidas normalizadas para la producción de tuberías<br><br>• <b>Traducción</b>: Pipe lengths are standardized<br><br>• <b>Ejemplo</b>: ""Compró tuberías de longitudes estandarizadas para el proyecto"" (He bought standardized length pipes for the project)</div>"
Términos de Ingeniería	El tipo de material depende del tipo de fluido a transportar	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: La selección de materiales sigue normas según el contenido<br><br>• <b>Traducción</b>: The type of material depends on the type of fluid to be transported<br><br>• <b>Ejemplo</b>: ""Para transportar ácidos, se seleccionan materiales según estándares específicos"" (To transport acids, materials are selected according to specific standards)</div>"
Términos de Ingeniería	Datos tabulados	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Información organizada en tablas<br><br>• <b>Traducción</b>: Tabulated data<br><br>• <b>Ejemplos</b>:<br> - <i>""Consultó los datos tabulados de resistencia de materiales""</i> (He consulted the tabulated data on material resistance)<br> - <i>""Todas las constantes aparecen tabuladas en el manual""</i> (All constants appear tabulated in the manual)</div>"
Términos de Ingeniería	Modelos matemáticos o ecuaciones	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Representaciones matemáticas de fenómenos físicos<br><br>• <b>Traducción</b>: Mathematical models or equations<br><br>• <b>Ejemplo</b>: ""Desarrollaron modelos matemáticos para predecir el comportamiento del sistema"" (They developed mathematical models to predict the system's behavior)</div>"
Términos de Ingeniería	Big Data	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Conjuntos de datos extremadamente grandes<br><br>• <b>Traducción</b>: Big Data (same in English)<br><br>• <b>Ejemplo</b>: ""Utilizan técnicas de Big Data para analizar el comportamiento de los consumidores"" (They use Big Data techniques to analyze consumer behavior)</div>"
Términos de Ingeniería	Personalizadas	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Adaptadas específicamente a necesidades particulares<br><br>• <b>Traducción</b>: Customized, personalized<br><br>• <b>Ejemplo</b>: ""Desarrollaron soluciones personalizadas para cada cliente"" (They developed customized solutions for each client)</div>"
Trabajo y Actividad	Trabajan / Trabajar	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Realizar una actividad laboral<br><br>• <b>Traducción</b>: They work / To work<br><br>• <b>Ejemplo</b>: ""Trabajan ocho horas diarias"" (They work eight hours daily)</div>"
Trabajo y Actividad	Camellan / Camellar	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Trabajar arduamente (coloquial)<br><br>• <b>Traducción</b>: To work hard, to labor (colloquial)<br><br>• <b>Uso regional</b>: Colombia, Ecuador y otros países latinoamericanos<br><br>• <b>Ejemplo</b>: ""Camellan todo el día para mantener a su familia"" (They work hard all day to support their family)</div>"
Trabajo y Actividad	Elegían juntos	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Proceso de selección realizado en grupo<br><br>• <b>Traducción</b>: They chose together<br><br>• <b>Ejemplo</b>: ""Elegían juntos el destino de las vacaciones"" (They chose the vacation destination together)</div>"
Trabajo y Actividad	Asistían en turnos	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Participación alternada en una actividad<br><br>• <b>Traducción</b>: They attended in shifts/turns<br><br>• <b>Ejemplo</b>: ""Asistían en turnos a las reuniones semanales"" (They attended the weekly meetings in shifts)</div>"
Trabajo y Actividad	Dictaba	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Impartía una clase / Pronunciaba para que alguien escribiera<br><br>• <b>Traducción</b>: He/she taught / He/she dictated<br><br>• <b>Contextos</b>:<br> - <b>Educativo</b>: ""El profesor dictaba la clase"" (The professor taught the class)<br> - <b>Administrativo</b>: ""Le dictaba el texto a su secretaria"" (He/she dictated the text to his/her secretary)</div>"
Materiales Visuales	Pósters / Afiches	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Material gráfico impreso de gran formato para exhibición<br><br>• <b>Traducción</b>: Posters<br><br>• <b>Diferencias regionales</b>:<br> - <b>""Póster""</b>: Término más utilizado en España<br> - <b>""Afiche""</b>: Más común en Latinoamérica<br><br>• <b>Ejemplo</b>: ""Diseñaron afiches para promocionar el evento"" (They designed posters to promote the event)</div>"
Materiales Visuales	Letreros / Signs / Carteles	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Elemento con información en espacio público<br><br>• <b>Traducción</b>: Signs<br><br>• <b>Ejemplos</b>:<br> - <i>""Los letreros de tráfico son importantes para la seguridad vial""</i> (Traffic signs are important for road safety)<br> - <i>""Colocaron carteles con instrucciones en toda la oficina""</i> (They placed signs with instructions throughout the office)</div>"
Materiales Visuales	Jugar con eso	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Manipular algo sin seriedad, experimentar<br><br>• <b>Traducción</b>: To play with that, to mess with that<br><br>• <b>Contextos</b>:<br> - <b>Literal</b>: ""No juegues con eso, es frágil"" (Don't play with that, it's fragile)<br> - <b>Figurado</b>: ""No juegues con sus sentimientos"" (Don't play with his/her feelings)</div>"
Expresiones de Petición	¿Te molesta si...?	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Forma cortés de pedir permiso<br><br>• <b>Traducción</b>: Does it bother you if...?<br><br>• <b>Ejemplo</b>: ""¿Te molesta si dejo la luz encendida un rato más?"" (Does it bother you if I leave the light on a bit longer?)</div>"
Expresiones de Petición	¿Te importa si...?	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Alternativa para pedir permiso con cortesía<br><br>• <b>Traducción</b>: Do you mind if...?<br><br>• <b>Ejemplo</b>: ""¿Te importa si dejo la luz encendida un rato más?"" (Do you mind if I leave the light on a bit longer?)</div>"
Expresiones de Petición	¿Está bien si...?	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Petición de consentimiento más directa<br><br>• <b>Traducción</b>: Is it okay if...?<br><br>• <b>Ejemplo</b>: ""¿Está bien si dejo la luz encendida un rato más?"" (Is it okay if I leave the light on a bit longer?)</div>"
Expresiones de Petición	Nos vimos obligados a	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Verse en la necesidad de hacer algo contra la voluntad<br><br>• <b>Traducción</b>: We were forced to<br><br>• <b>Ejemplo</b>: ""Nos vimos obligados a cancelar el evento por la lluvia"" (We were forced to cancel the event due to the rain)</div>"
Expresiones de Petición	"Variaciones de ""verse obligado a"""	"<div style=""text-align: left; width: 100%;"">• ""Me vi obligado/a a"" (I was forced to)<br><br>• ""Se vio obligado/a a"" (He/she was forced to)<br><br>• ""Te viste obligado/a a"" (You were forced to)<br><br>• ""Se vieron obligados/as a"" (They were forced to)<br><br>• ""Nos hemos visto obligados a"" (We have been forced to)<br><br>• ""Me veré obligado/a a"" (I will be forced to)<br><br>• ""Nos sentimos obligados a"" (We felt obliged to)<br><br>• ""Nos encontramos en la obligación de"" (We find ourselves obligated to)<br><br>• ""No tuvimos más remedio que"" (We had no choice but to)<br><br>• ""Nos vimos en la necesidad de"" (We found ourselves in need of)</div>"
Expresiones de Petición	Debo vs. Me toca	"<div style=""text-align: left; width: 100%;"">• <b>""Debo""</b>: Deber moral o responsabilidad (I must/should - <b>moral duty)<br><br>• ""Me toca""</b>: Turno o correspondencia (It's my turn to - <b>rotation)<br><br>• Ejemplos</b>:<br> - <i>""Debo terminar este informe hoy""</i> (I must finish this report today)<br> - <i>""Me toca lavar los platos esta noche""</i> (It's my turn to wash the dishes tonight)</div>"
Expresiones Temporales	Ya se veía venir	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Era previsible, se podía anticipar<br><br>• <b>Traducción</b>: It was foreseeable, you could see it coming<br><br>• <b>Ejemplo</b>: ""Ya se veía venir la crisis económica"" (You could see the economic crisis coming)</div>"
Expresiones Temporales	Ya era hora	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Algo debería haber ocurrido antes<br><br>• <b>Traducción</b>: It's about time, it was about time<br><br>• <b>Ejemplo</b>: ""¡Ya era hora de que terminaran las obras!"" (It's about time they finished the construction!)</div>"
Expresiones Temporales	A partir de	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Desde un punto temporal o temático en adelante<br><br>• <b>Traducción</b>: From, starting from<br><br>• <b>Usos</b>:<br> - <b>Temporal</b>: ""A partir de mañana, comenzaré a hacer ejercicio"" (Starting tomorrow, I'll begin exercising)<br> - <b>Temático</b>: ""A partir de este tema, exploraremos nuevos conceptos"" (From this topic onwards, we'll explore new concepts)</div>"
Expresiones Temporales	Retrasado/Retrasada	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Ocurre tarde / Persona que llega tarde<br><br>• <b>Traducción</b>: Delayed / Late<br><br>• <b>Ejemplo</b>: ""El tren llega retrasado"" (The train is arriving late)</div>"
Expresiones Temporales	Estancamiento/Estancar	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Detener el progreso o avance<br><br>• <b>Traducción</b>: Stagnation/To stagnate, to halt progress<br><br>• <b>Ejemplo</b>: ""El proyecto se estancó por falta de fondos"" (The project stagnated due to lack of funds)</div>"
Expresiones Temporales	Selena Gómez habría 'retrasado' durante meses el anuncio de su compromiso por Justin Bieber	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Selena Gomez habría pospuesto su anuncio de compromiso durante meses debido a Justin Bieber<br><br>• <b>Traducción</b>: Selena Gomez reportedly delayed her engagement announcement for months because of Justin Bieber</div>"
Expresiones de Opinión	Me parece falso/mentira	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Expresión de incredulidad o desconfianza<br><br>• <b>Traducción</b>: It seems false to me/I can't believe it<br><br>• <b>Ejemplo</b>: ""Me parece mentira que hayan terminado el proyecto tan rápido"" (I can't believe they finished the project so quickly)</div>"
Expresiones de Opinión	Engañoso/a	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Algo que induce a error o confusión<br><br>• <b>Traducción</b>: Misleading, deceptive<br><br>• <b>Ejemplo</b>: ""La publicidad es engañosa, el producto no funciona como prometen"" (The advertising is misleading, the product doesn't work as promised)</div>"
Expresiones de Opinión	Qué hizo que el examen fuera más difícil	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Pregunta sobre factores que aumentaron la dificultad<br><br>• <b>Traducción</b>: What made the exam more difficult<br><br>• <b>Ejemplo</b>: ""¿Qué hizo que el examen fuera más difícil este año?"" (What made the exam more difficult this year?)</div>"
Variantes Regionales	Vos = tú	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Segunda persona singular en español rioplatense<br><br>• <b>Traducción</b>: You (singular)<br><br>• <b>Uso</b>: Argentina y otros países latinoamericanos</div>"
Variantes Regionales	"Conjugación con ""vos"""	"<div style=""text-align: left; width: 100%;"">• <b>Ser</b>: ""vos sos"" (you are) vs. ""tú eres""<br><br>• <b>Tener</b>: ""vos tenés"" (you have) vs. ""tú tienes""<br><br>• <b>Saber</b>: ""vos sabés"" (you know) vs. ""tú sabes""<br><br>• <b>Querer</b>: ""vos querés"" (you want) vs. ""tú quieres""</div>"
Variantes Regionales	"Uso de ""vos"" con posesivos"	"<div style=""text-align: left; width: 100%;"">• <b>Con ""vos"" se usan</b>: ""te"", ""tu"", ""tus"", ""tuyo/a"" (not ""os"", ""vuestro"", etc.)<br><br>• <b>Ejemplos</b>:<br> - <i>""Vos y tu hermano""</i> (You and your brother)<br> - <i>""Te vi ayer""</i> (I saw you yesterday)</div>"
Variantes Regionales	"Construcciones especiales con ""vos"""	"<div style=""text-align: left; width: 100%;"">• <b>""Gracias por vos + infinitivo""</b>:<br> - <b>Estructura menos común, mezclando ""vos"" con construcciones de infinitivo<br> - Ejemplo</b>: ""Gracias por vos ayudarme"" (Thanks for you helping me)<br> - <b>Forma estándar</b>: ""Gracias por tu ayuda"" (Thanks for your help)</div>"
Variantes Regionales	Pronunciación de Ll/Y en Argentina	"<div style=""text-align: left; width: 100%;"">• <b>Característica</b>: Sonido ""sh"" (/ʃ/) para ""ll"" y ""y""<br><br>• <b>Ejemplo</b>: ""Llego"" pronunciado como ""shego""<br><br>• <b>Fenómeno</b>: ""Sheísmo"" o ""yeísmo rehilado""</div>"
Variantes Regionales	Vocabulario argentino: Indumentaria	"<div style=""text-align: left; width: 100%;"">• <b>""Pulóver"" / ""Buzo""</b>: Suéter, jersey (sweater)<br><br>• <b>Ejemplo</b>: ""Llevá un buzo que va a hacer frío"" (Take a sweater because it's going to be cold)</div>"
Variantes Regionales	Vocabulario argentino: Dinero	"<div style=""text-align: left; width: 100%;"">• <b>""Biyuya""</b>: Money (colloquial)<br><br>• <b>Ejemplo</b>: ""No tengo biyuya para salir este fin de semana"" (I don't have money to go out this weekend)</div>"
Variantes Regionales	Vocabulario argentino: Personas	"<div style=""text-align: left; width: 100%;"">• <b>""Pibe"" / ""Piba""</b>: Chico/a, joven (kid, young person)<br><br>• <b>Ejemplo</b>: ""Los pibes están jugando en la plaza"" (The kids are playing in the square)</div>"
Variantes Regionales	Vocabulario argentino: Estados	"<div style=""text-align: left; width: 100%;"">• <b>""Fiaca""</b>: Pereza, desgana (laziness)<br><br>• <b>Ejemplo</b>: ""Hoy tengo fiaca, no quiero salir de casa"" (Today I feel lazy, I don't want to leave the house)</div>"
Variantes Regionales	Vocabulario argentino: Situaciones	"<div style=""text-align: left; width: 100%;"">• <b>""Cambalache""</b>: Desorden, confusión (mess, chaos)<br><br>• <b>Ejemplo</b>: ""La habitación es un cambalache"" (The room is a mess)</div>"
Variantes Regionales	Vocabulario argentino: Autenticidad	"<div style=""text-align: left; width: 100%;"">• <b>""Trucho/a""</b>: Falso, de mala calidad (fake, low quality)<br><br>• <b>Ejemplo</b>: ""El reloj que compré es trucho"" (The watch I bought is fake)<br><br>• <b>""Hacerse el trucha""</b>: Hacerse el listo (to act smart)</div>"
Variantes Regionales	Vocabulario argentino: Tecnología	"<div style=""text-align: left; width: 100%;"">• <b>""Auriculares""</b>: Headphones (Argentina)<br><br>• <b>""Audífonos""</b>: Headphones (otros países hispanohablantes)<br><br>• <b>Ejemplo</b>: ""Me compré unos auriculares nuevos"" (I bought new headphones)</div>"
Variantes Regionales	Vocabulario argentino: Gastronomía	"<div style=""text-align: left; width: 100%;"">• <b>""Un Feca""</b>: Un café (coffee)<br><br>• <b>Ejemplo</b>: ""Vamos a tomar un feca"" (Let's have a coffee)</div>"
Variantes Regionales	Arruchar (Argentina)	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Aplastar, apretar, acurrucarse<br><br>• <b>Traducción</b>: To squish, to cuddle, to curl up<br><br>• <b>Ejemplo</b>: ""Se arruchó contra mí para entrar en calor"" (He/she cuddled up against me to warm up)</div>"
Términos Educativos	Jardín de infantes/Jardín	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Nivel educativo para niños de 3-5 años<br><br>• <b>Traducción</b>: Kindergarten, preschool<br><br>• <b>Ejemplo</b>: ""Mi hijo va al jardín de infantes"" (My son goes to kindergarten)</div>"
Términos Educativos	Colonias de natación	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Programas intensivos de natación en vacaciones<br><br>• <b>Traducción</b>: Swimming camps/schools<br><br>• <b>Ejemplo</b>: ""En verano asistía a las colonias de natación"" (In summer he/she attended swimming camps)</div>"
Términos Educativos	Éramos chicas	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Expresión de juventud pasada (femenino)<br><br>• <b>Traducción</b>: We were young girls<br><br>• <b>Ejemplo</b>: ""Cuando éramos chicas, jugábamos en la plaza"" (When we were girls, we used to play in the square)</div>"
Términos Educativos	Cobro/Cobrar	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Recaudación de pagos por servicios<br><br>• <b>Traducción</b>: Collection/To collect payment<br><br>• <b>Ejemplo</b>: ""El cobro de la matrícula es en secretaría"" (Tuition payment collection is in the secretary's office)</div>"
Términos Educativos	Directivos	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Personal de dirección en institución educativa<br><br>• <b>Traducción</b>: Administrators, directors<br><br>• <b>Ejemplo</b>: ""Los directivos decidieron suspender las clases"" (The administrators decided to cancel classes)</div>"
Términos Educativos	Promedio	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Media aritmética de calificaciones<br><br>• <b>Traducción</b>: Average, grade point average<br><br>• <b>Ejemplo</b>: ""Necesito un ocho para mantener el promedio"" (I need an eight to maintain my average)</div>"
Términos Educativos	Tacha	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Marca que indica error o ausencia<br><br>• <b>Traducción</b>: Cross-out, mark<br><br>• <b>Ejemplo</b>: ""El profesor puso una tacha en mi respuesta incorrecta"" (The teacher put a mark on my incorrect answer)</div>"
Términos Educativos	Desnivel	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Diferencia de altura en una superficie<br><br>• <b>Traducción</b>: Unevenness, drop, slope<br><br>• <b>Ejemplo</b>: ""Cuidado con el desnivel al entrar al aula"" (Be careful with the uneven surface when entering the classroom)</div>"
Términos Educativos	Tocamos feriado	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Coincidimos con un día festivo<br><br>• <b>Traducción</b>: We happen to have a holiday<br><br>• <b>Ejemplo</b>: ""Este lunes tocamos feriado, no hay clases"" (This Monday is a holiday, there are no classes)</div>"
Términos Educativos	No es tan continua	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: No ocurre con regularidad constante<br><br>• <b>Traducción</b>: It's not so continuous/regular<br><br>• <b>Ejemplo</b>: ""La asistencia no es tan continua durante el invierno"" (Attendance is not so regular during winter)</div>"
Términos Educativos	Ha estado volviéndose	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Proceso gradual que comenzó en el pasado y continúa<br><br>• <b>Traducción</b>: It has been becoming<br><br>• <b>Ejemplo</b>: ""La educación ha estado volviéndose más tecnológica"" (Education has been becoming more technological)</div>"
Actividad Física	Entrenamiento con pesas	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Ejercicio físico que utiliza resistencia para desarrollar fuerza y musculatura<br><br>• <b>Traducción</b>: Weight training<br><br>• <b>Ejemplos</b>:<br> - <i>""Hago entrenamiento con pesas tres veces por semana""</i> (I do weight training three times a week)<br> - <i>""El entrenamiento con pesas ha mejorado mi postura""</i> (Weight training has improved my posture)</div>"
Actividad Física	Acondicionamiento	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Preparación física general para mejorar salud y rendimiento<br><br>• <b>Traducción</b>: Conditioning<br><br>• <b>Ejemplos</b>:<br> - <i>""Sesión de acondicionamiento físico""</i> (Physical conditioning session)<br> - <i>""Clases de acondicionamiento cardiovascular""</i> (Cardiovascular conditioning classes)</div>"
Actividad Física	Alzar pesos	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Acción de levantar elementos pesados como forma de ejercicio<br><br>• <b>Traducción</b>: Lifting weights<br><br>• <b>Ejemplos</b>:<br> - <i>""Alzar pesos regularmente fortalece los músculos""</i> (Lifting weights regularly strengthens muscles)<br> - <i>""No alces pesos sin calentar primero""</i> (Don't lift weights without warming up first)</div>"
Actividad Física	Rondas / ciclos	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Series repetidas de ejercicios en entrenamiento<br><br>• <b>Traducción</b>: Rounds / cycles<br><br>• <b>Ejemplos</b>:<br> - <i>""Hice cuatro rondas de ejercicios""</i> (I did four rounds of exercises)<br> - <i>""Este programa tiene ciclos de tres semanas""</i> (This program has three-week cycles)</div>"
