Sección,Palabra/Frase,Detalles
Servicio y Atención,Ofrece/Brinda(formal)/Sirve asistencia,"• Significado: Formas de expresar la provisión de ayuda<br>• Traducción: Offers/Provides/Serves assistance<br>• Ejemplos:<br> - ""El hotel ofrece asistencia las 24 horas"" (The hotel offers 24-hour assistance)<br> - ""La empresa brinda asistencia técnica"" (The company provides technical assistance)<br> - ""El departamento sirve asistencia legal"" (The department serves legal assistance)"
Servicio y Atención,Ofrezco/Brindo/Doy mi apoyo incondicional,"• Significado: Expresiones de respaldo total<br>• Traducción: I offer/provide/give my unconditional support<br>• Ejemplos:<br> - ""Te ofrezco mi apoyo incondicional"" (I offer you my unconditional support)<br> - ""Le brindo mi apoyo incondicional en este proyecto"" (I provide my unconditional support for this project)"
Servicio y Atención,"Mozo/Moza, Mesero/a","• Significado: Persona que sirve en un restaurante<br>• Traducción: Waiter/waitress<br>• Variantes regionales:<br> - ""Mozo/a"" (usado en Argentina, Uruguay, Paraguay)<br> - ""Mesero/a"" (usado en México, Colombia, etc.)"
Servicio y Atención,Invitar a,"• Significado: Pagar por alguien más<br>• Traducción: To treat (someone to something)<br>• Ejemplos:<br> - ""Te invito a comer"" (I'll treat you to a meal)<br> - ""Él nos invitó al cine"" (He treated us to the movies)"
Servicio y Atención,El matiz de significado,"• Significado: Sutil diferencia en el significado<br>• Traducción: Nuance of meaning<br>• Ejemplo: ""Hay un matiz de significado entre 'ofrecer' y 'brindar'"" (There's a nuance of meaning between 'ofrecer' and 'brindar')"
Servicio y Atención,Servicio a la habitación,"• Significado: Servicio de comida en hoteles<br>• Traducción: Room service<br>• Ejemplo: ""Pedimos servicio a la habitación"" (We ordered room service)"
Servicio y Atención,Me gustaría brindarte mi experiencia,"• Significado: Ofrecer formalmente conocimientos o habilidades<br>• Traducción: I would like to offer you my experience<br>• Ejemplos:<br> - ""Me gustaría brindarte mi experiencia en entrevistas"" (I would like to offer you my experience with interviews)"
Expresiones de Ánimo,"Animar, gritar","• Significado: Vocalmente expresar apoyo o emoción<br>• Traducción: To cheer, to shout<br>• Ejemplos:<br> - ""Los aficionados animaban a su equipo"" (The fans were cheering for their team)<br> - ""Gritaron de alegría cuando ganaron"" (They shouted with joy when they won)"
Expresiones de Olvido,Me las olvidé/Olvidé,"• Significado: Formas de expresar olvido<br>• Traducción: I forgot<br>• Ejemplos:<br> - ""Me olvidé las llaves"" (I forgot my keys) - más común que ""se me olvidaron las llaves""<br> - ""Olvidé llamarte"" (I forgot to call you)"
Expresiones de Accidente,Se me derramó mi café/Derramé,"• Significado: Formas de expresar derrame de líquidos<br>• Traducción: I spilled (accidentally/deliberately)<br>• Ejemplos:<br> - ""Se me derramó el café sobre los documentos"" (I accidentally spilled my coffee on the documents)<br> - ""Derramé agua en el teclado"" (I spilled water on the keyboard)"
Expresiones de Accidente,Caer-derrame,"• Significado: Relación entre caída y derrame<br>• Traducción: Fall-spill relationship<br>• Ejemplo: ""El vaso cayó y se derramó el contenido"" (The glass fell and the contents spilled)"
Expresiones de Accidente,Tropezar con,"• Significado: Golpear el pie contra algo causando pérdida de equilibrio<br>• Traducción: To trip over<br>• Ejemplos: ""Tropezar con la alfombra/piedra/silla/escalón/escaleras"" (Trip over carpet/stone/chair/step/stairs)"
Expresiones de Accidente,Resbalarse,"• Significado: Deslizarse involuntariamente y perder el equilibrio<br>• Traducción: To slip<br>• Ejemplos: ""Resbalarse en el agua/algún líquido/hielo/barro/suelo mojado del baño"" (Slip on water/liquid/ice/mud/wet bathroom floor)"
Términos de Construcción,Baldosa,"• Significado: Loseta para el suelo<br>• Traducción: Floor tile, paving stone<br>• Ejemplo: ""Las baldosas del baño estaban resbaladizas"" (The bathroom tiles were slippery)"
Términos de Construcción,Resbaladizo/a,"• Significado: Superficie que produce fácilmente resbalones<br>• Traducción: Slippery<br>• Ejemplo: ""El suelo estaba resbaladizo después de la lluvia"" (The floor was slippery after the rain)"
Términos de Construcción,Vereda/Acera,"• Significado: Camino pavimentado para peatones<br>• Traducción: Sidewalk, pavement<br>• Variantes regionales:<br> - ""Vereda"" (usado en Argentina, Uruguay)<br> - ""Acera"" (usado en España)"
Términos de Construcción,Escombros,"• Significado: Restos de edificios o construcciones demolidas<br>• Traducción: Debris, rubble<br>• Ejemplo: ""Los escombros del edificio bloqueaban la calle"" (The building debris blocked the street)"
Comunicación,Enterar,"• Significado: Notificar, comunicar, informar<br>• Traducción: To inform, to find out<br>• Ejemplos:<br> - ""Me enteré de la noticia ayer"" (I found out about the news yesterday)<br> - ""Te enteraré de los cambios"" (I'll inform you about the changes)"
Expresiones de Ánimo,No desmayen,"• Significado: Expresión de ánimo para no rendirse<br>• Traducción: Don't give up<br>• Ejemplo: ""No desmayen, ya falta poco"" (Don't give up, it's almost over)"
Expresiones de Daño,Te lastimaste,"• Significado: Sufrir una herida o daño físico<br>• Traducción: You hurt yourself<br>• Ejemplo: ""Te lastimaste el tobillo al caer"" (You hurt your ankle when you fell)"
Expresiones de Reacción,Sonrojar,"• Significado: Causar rubor en el rostro de alguien<br>• Traducción: To make blush<br>• Ejemplo: ""Su comentario me sonrojó"" (His/her comment made me blush)"
Ubicaciones,Autopista/Calle,"• Significado: Vías para tránsito vehicular<br>• Traducción: Highway/Street<br>• Ejemplos:<br> - ""La autopista está congestionada"" (The highway is congested)<br> - ""Vivo en la calle Principal"" (I live on Main Street)"
Expresiones Deportivas,Hizo gol en contra,"• Significado: Cuando un jugador marca un gol en su propia portería<br>• Traducción: Scored an own goal<br>• Ejemplo: ""El defensa hizo gol en contra"" (The defender scored an own goal)"
Expresiones Posicionales,En contra de y a favor de,"• Significado: Posiciones opuestas<br>• Traducción: Against and in favor of<br>• Ejemplos:<br> - ""Estoy en contra de esa propuesta"" (I'm against that proposal)<br> - ""Estoy a favor de la iniciativa"" (I'm in favor of the initiative)"
Verbos de Movimiento,Acercar vs. Asomar,"• Significado: Verbos de proximidad y aparición<br>• Traducción:<br> - ""Acercar"": To bring closer<br> - ""Asomar"": To peek out, to appear<br>• Ejemplo: ""Se asoma al balcón"" (He/she peers out onto the balcony)"
Expresiones de Confusión,No sé por dónde empezar,"• Significado: Expresión de confusión o abrumamiento<br>• Traducción: I don't know where to start<br>• Ejemplo: ""No sé por dónde empezar a organizar esto"" (I don't know where to start organizing this)"
"Construcciones con ""Dejar""",Dejaron salir a X de [lugar] por [tiempo],"• Significado: Estructura para permitir salida<br>• Traducción: They let X out of [place] for [time]<br>• Ejemplos:<br> - ""Dejaron salir a los niños de sus cuartos"" (They let the children out of their rooms)<br> - ""Dejaron salir a los perros de sus jaulas por la mañana"" (They let the dogs out of their cages in the morning)"
Expresiones de Aparición,Se asoma a mi suelo,"• Significado: Aparece o se muestra parcialmente en mi suelo<br>• Traducción: Is showing/appearing on my floor<br>• Ejemplo: ""El agua se asoma a mi suelo"" (The water is showing/appearing on my floor)"
Movilidad y Traslados,Nos mudábamos,"• Significado: Acción en pasado de cambiar de vivienda o ubicación<br>• Traducción: We were moving/relocating<br>• Tiempo verbal: Pretérito imperfecto (acción habitual o en desarrollo en el pasado)<br>• Ejemplo: ""Nos mudábamos cada dos años por el trabajo de mi padre"" (We used to move every two years because of my father's job)"
Movilidad y Traslados,Los mudaban / Los trasladaban,"• Significado: Alguien movía a otras personas de ubicación<br>• Traducción: They were moving them / They were transferring them<br>• Diferencias:<br> - ""Mudar"": Cambiar completamente de ubicación o vivienda<br> - ""Trasladar"": Mover de un lugar a otro, no necesariamente permanente<br>• Ejemplos:<br> - ""Los mudaban a un nuevo edificio tras el incendio"" (They were relocating them to a new building after the fire)<br> - ""Los trasladaban en autobús al centro deportivo"" (They were transporting them by bus to the sports center)"
Movilidad y Traslados,Salidas de campo,"• Significado: Actividad académica o laboral fuera del lugar habitual<br>• Traducción: Field trips (academic context)<br>• Contexto: Ámbito educativo o profesional con propósito de aprendizaje o investigación<br>• Ejemplos:<br> - ""Organizaron salidas de campo para estudiar la flora local"" (They organized field trips to study the local flora)<br> - ""La salida de campo incluyó visitas a tres yacimientos arqueológicos"" (The field trip included visits to three archaeological sites)"
Movilidad y Traslados,Excursiones,"• Significado: Viaje recreativo o educativo de corta duración<br>• Traducción: Excursions, field trips<br>• Ejemplos:<br> - ""Las excursiones escolares son muy educativas"" (School excursions are very educational)<br> - ""Organizaron una excursión al museo para los estudiantes"" (They organized an excursion to the museum for the students)"
Movilidad y Traslados,El transporte,"• Significado: Medio para desplazar personas o mercancías<br>• Traducción: Transportation<br>• Ejemplos:<br> - ""El transporte público es eficiente en esta ciudad"" (Public transportation is efficient in this city)<br> - ""El costo del transporte aumentó este año"" (The cost of transportation increased this year)"
Movilidad y Traslados,Expresiones de costo,"• ""Es el mayor gasto"" (It is the biggest expense)<br>• ""El gasto mayor"" (The major expense)<br>• ""El mayor"" (The biggest/largest)<br>• ""El costo máximo"" (The maximum cost)<br>• Ejemplos:<br> - ""El transporte es el mayor gasto para muchas familias"" (Transportation is the biggest expense for many families)<br> - ""Establecieron el costo máximo por persona"" (They established the maximum cost per person)"
Expresiones Religiosas,Rogando a Dios,"• Significado: Pidiendo a Dios con devoción o desesperación<br>• Traducción: Begging/praying to God<br>• Ejemplo: ""Estaba rogando a Dios que su hijo se recuperara"" (She was praying to God for her son to recover)"
Expresiones Religiosas,Rogar,"• Significado: Pedir con insistencia y humildad<br>• Traducción: To beg, to plead<br>• Ejemplos:<br> - ""Le rogué que me perdonara"" (I begged him/her to forgive me)<br> - ""Te ruego que consideres mi caso"" (I beg you to consider my case)"
Expresiones Religiosas,Rezar / Orar,"• Significado: Dirigirse a una divinidad en oración<br>• Traducción: To pray<br>• Diferencia:<br> - ""Rezar"": Más asociado a oraciones establecidas o rituales<br> - ""Orar"": Más asociado a comunicación personal con la divinidad<br>• Ejemplos:<br> - ""Reza el rosario todas las noches"" (He/she prays the rosary every night)<br> - ""Ora en silencio antes de dormir"" (He/she prays silently before sleeping)"
Expresiones Religiosas,Ruegas a Dios cuando estás en medio del peligro,"• Significado: En situaciones de emergencia se tiende a suplicar con intensidad<br>• Traducción: You pray/beg God when you are in danger<br>• Ejemplo: ""Cuando el avión empezó a sacudirse, todos rogaban a Dios"" (When the plane started to shake, everyone was praying to God)"
Expresiones Religiosas,Rezas cuando estás en calma,"• Significado: La oración como práctica regular en momentos de tranquilidad<br>• Traducción: You pray when you are calm<br>• Ejemplo: ""Reza cada noche antes de acostarse"" (He/she prays every night before going to bed)"
Términos de Ingeniería,Petróleo,"• Significado: Sustancia natural compuesta de hidrocarburos<br>• Traducción: Petroleum, oil<br>• Ejemplo: ""La economía del país depende del petróleo"" (The country's economy depends on oil)"
Términos de Ingeniería,Crudo,"• Significado: Petróleo sin refinar, en estado natural<br>• Traducción: Crude oil<br>• Ejemplo: ""El precio del crudo ha subido este mes"" (The price of crude oil has risen this month)"
Términos de Ingeniería,Cálculo del diámetro de la tubería,"• Significado: Determinar la medida del círculo interno de un tubo<br>• Traducción: Calculation of pipe diameter<br>• Ejemplo: ""El cálculo del diámetro de la tubería es crucial para el flujo adecuado"" (The calculation of the pipe diameter is crucial for proper flow)"
Términos de Ingeniería,Cálculo del espesor del material de la tubería,"• Significado: Determinar el grosor de la pared del tubo<br>• Traducción: Calculation of pipe wall thickness<br>• Ejemplo: ""El cálculo del espesor del material de la tubería depende de la presión que soportará"" (The calculation of the pipe material thickness depends on the pressure it will withstand)"
Términos de Ingeniería,Espesor vs. Grosor,"• ""Espesor"": Término técnico (thickness - technical term)<br>• ""Grosor"": Término cotidiano (thickness - everyday term)<br>• Ejemplos:<br> - ""El espesor del material determina su resistencia"" (The thickness of the material determines its resistance)<br> - ""El grosor del libro impresiona"" (The thickness of the book is impressive)"
Términos de Ingeniería,Las longitudes de tubería están estandarizadas,"• Significado: Existen medidas normalizadas para la producción de tuberías<br>• Traducción: Pipe lengths are standardized<br>• Ejemplo: ""Compró tuberías de longitudes estandarizadas para el proyecto"" (He bought standardized length pipes for the project)"
Términos de Ingeniería,El tipo de material depende del tipo de fluido a transportar,"• Significado: La selección de materiales sigue normas según el contenido<br>• Traducción: The type of material depends on the type of fluid to be transported<br>• Ejemplo: ""Para transportar ácidos, se seleccionan materiales según estándares específicos"" (To transport acids, materials are selected according to specific standards)"
Términos de Ingeniería,Datos tabulados,"• Significado: Información organizada en tablas<br>• Traducción: Tabulated data<br>• Ejemplos:<br> - ""Consultó los datos tabulados de resistencia de materiales"" (He consulted the tabulated data on material resistance)<br> - ""Todas las constantes aparecen tabuladas en el manual"" (All constants appear tabulated in the manual)"
Términos de Ingeniería,Modelos matemáticos o ecuaciones,"• Significado: Representaciones matemáticas de fenómenos físicos<br>• Traducción: Mathematical models or equations<br>• Ejemplo: ""Desarrollaron modelos matemáticos para predecir el comportamiento del sistema"" (They developed mathematical models to predict the system's behavior)"
Términos de Ingeniería,Big Data,"• Significado: Conjuntos de datos extremadamente grandes<br>• Traducción: Big Data (same in English)<br>• Ejemplo: ""Utilizan técnicas de Big Data para analizar el comportamiento de los consumidores"" (They use Big Data techniques to analyze consumer behavior)"
Términos de Ingeniería,Personalizadas,"• Significado: Adaptadas específicamente a necesidades particulares<br>• Traducción: Customized, personalized<br>• Ejemplo: ""Desarrollaron soluciones personalizadas para cada cliente"" (They developed customized solutions for each client)"
Trabajo y Actividad,Trabajan / Trabajar,"• Significado: Realizar una actividad laboral<br>• Traducción: They work / To work<br>• Ejemplo: ""Trabajan ocho horas diarias"" (They work eight hours daily)"
Trabajo y Actividad,Camellan / Camellar,"• Significado: Trabajar arduamente (coloquial)<br>• Traducción: To work hard, to labor (colloquial)<br>• Uso regional: Colombia, Ecuador y otros países latinoamericanos<br>• Ejemplo: ""Camellan todo el día para mantener a su familia"" (They work hard all day to support their family)"
Trabajo y Actividad,Elegían juntos,"• Significado: Proceso de selección realizado en grupo<br>• Traducción: They chose together<br>• Ejemplo: ""Elegían juntos el destino de las vacaciones"" (They chose the vacation destination together)"
Trabajo y Actividad,Asistían en turnos,"• Significado: Participación alternada en una actividad<br>• Traducción: They attended in shifts/turns<br>• Ejemplo: ""Asistían en turnos a las reuniones semanales"" (They attended the weekly meetings in shifts)"
Trabajo y Actividad,Dictaba,"• Significado: Impartía una clase / Pronunciaba para que alguien escribiera<br>• Traducción: He/she taught / He/she dictated<br>• Contextos:<br> - Educativo: ""El profesor dictaba la clase"" (The professor taught the class)<br> - Administrativo: ""Le dictaba el texto a su secretaria"" (He/she dictated the text to his/her secretary)"
Materiales Visuales,Pósters / Afiches,"• Significado: Material gráfico impreso de gran formato para exhibición<br>• Traducción: Posters<br>• Diferencias regionales:<br> - ""Póster"": Término más utilizado en España<br> - ""Afiche"": Más común en Latinoamérica<br>• Ejemplo: ""Diseñaron afiches para promocionar el evento"" (They designed posters to promote the event)"
Materiales Visuales,Letreros / Signs / Carteles,"• Significado: Elemento con información en espacio público<br>• Traducción: Signs<br>• Ejemplos:<br> - ""Los letreros de tráfico son importantes para la seguridad vial"" (Traffic signs are important for road safety)<br> - ""Colocaron carteles con instrucciones en toda la oficina"" (They placed signs with instructions throughout the office)"
Materiales Visuales,Jugar con eso,"• Significado: Manipular algo sin seriedad, experimentar<br>• Traducción: To play with that, to mess with that<br>• Contextos:<br> - Literal: ""No juegues con eso, es frágil"" (Don't play with that, it's fragile)<br> - Figurado: ""No juegues con sus sentimientos"" (Don't play with his/her feelings)"
Expresiones de Petición,¿Te molesta si...?,"• Significado: Forma cortés de pedir permiso<br>• Traducción: Does it bother you if...?<br>• Ejemplo: ""¿Te molesta si dejo la luz encendida un rato más?"" (Does it bother you if I leave the light on a bit longer?)"
Expresiones de Petición,¿Te importa si...?,"• Significado: Alternativa para pedir permiso con cortesía<br>• Traducción: Do you mind if...?<br>• Ejemplo: ""¿Te importa si dejo la luz encendida un rato más?"" (Do you mind if I leave the light on a bit longer?)"
Expresiones de Petición,¿Está bien si...?,"• Significado: Petición de consentimiento más directa<br>• Traducción: Is it okay if...?<br>• Ejemplo: ""¿Está bien si dejo la luz encendida un rato más?"" (Is it okay if I leave the light on a bit longer?)"
Expresiones de Petición,Nos vimos obligados a,"• Significado: Verse en la necesidad de hacer algo contra la voluntad<br>• Traducción: We were forced to<br>• Ejemplo: ""Nos vimos obligados a cancelar el evento por la lluvia"" (We were forced to cancel the event due to the rain)"
Expresiones de Petición,"Variaciones de ""verse obligado a""","• ""Me vi obligado/a a"" (I was forced to)<br>• ""Se vio obligado/a a"" (He/she was forced to)<br>• ""Te viste obligado/a a"" (You were forced to)<br>• ""Se vieron obligados/as a"" (They were forced to)<br>• ""Nos hemos visto obligados a"" (We have been forced to)<br>• ""Me veré obligado/a a"" (I will be forced to)<br>• ""Nos sentimos obligados a"" (We felt obliged to)<br>• ""Nos encontramos en la obligación de"" (We find ourselves obligated to)<br>• ""No tuvimos más remedio que"" (We had no choice but to)<br>• ""Nos vimos en la necesidad de"" (We found ourselves in need of)"
Expresiones de Petición,Debo vs. Me toca,"• ""Debo"": Deber moral o responsabilidad (I must/should - moral duty)<br>• ""Me toca"": Turno o correspondencia (It's my turn to - rotation)<br>• Ejemplos:<br> - ""Debo terminar este informe hoy"" (I must finish this report today)<br> - ""Me toca lavar los platos esta noche"" (It's my turn to wash the dishes tonight)"
Expresiones Temporales,Ya se veía venir,"• Significado: Era previsible, se podía anticipar<br>• Traducción: It was foreseeable, you could see it coming<br>• Ejemplo: ""Ya se veía venir la crisis económica"" (You could see the economic crisis coming)"
Expresiones Temporales,Ya era hora,"• Significado: Algo debería haber ocurrido antes<br>• Traducción: It's about time, it was about time<br>• Ejemplo: ""¡Ya era hora de que terminaran las obras!"" (It's about time they finished the construction!)"
Expresiones Temporales,A partir de,"• Significado: Desde un punto temporal o temático en adelante<br>• Traducción: From, starting from<br>• Usos:<br> - Temporal: ""A partir de mañana, comenzaré a hacer ejercicio"" (Starting tomorrow, I'll begin exercising)<br> - Temático: ""A partir de este tema, exploraremos nuevos conceptos"" (From this topic onwards, we'll explore new concepts)"
Expresiones Temporales,Retrasado/Retrasada,"• Significado: Ocurre tarde / Persona que llega tarde<br>• Traducción: Delayed / Late<br>• Ejemplo: ""El tren llega retrasado"" (The train is arriving late)"
Expresiones Temporales,Estancamiento/Estancar,"• Significado: Detener el progreso o avance<br>• Traducción: Stagnation/To stagnate, to halt progress<br>• Ejemplo: ""El proyecto se estancó por falta de fondos"" (The project stagnated due to lack of funds)"
Expresiones Temporales,Selena Gómez habría 'retrasado' durante meses el anuncio de su compromiso por Justin Bieber,• Significado: Selena Gomez habría pospuesto su anuncio de compromiso durante meses debido a Justin Bieber<br>• Traducción: Selena Gomez reportedly delayed her engagement announcement for months because of Justin Bieber
Expresiones de Opinión,Me parece falso/mentira,"• Significado: Expresión de incredulidad o desconfianza<br>• Traducción: It seems false to me/I can't believe it<br>• Ejemplo: ""Me parece mentira que hayan terminado el proyecto tan rápido"" (I can't believe they finished the project so quickly)"
Expresiones de Opinión,Engañoso/a,"• Significado: Algo que induce a error o confusión<br>• Traducción: Misleading, deceptive<br>• Ejemplo: ""La publicidad es engañosa, el producto no funciona como prometen"" (The advertising is misleading, the product doesn't work as promised)"
Expresiones de Opinión,Qué hizo que el examen fuera más difícil,"• Significado: Pregunta sobre factores que aumentaron la dificultad<br>• Traducción: What made the exam more difficult<br>• Ejemplo: ""¿Qué hizo que el examen fuera más difícil este año?"" (What made the exam more difficult this year?)"
Variantes Regionales,Vos = tú,• Significado: Segunda persona singular en español rioplatense<br>• Traducción: You (singular)<br>• Uso: Argentina y otros países latinoamericanos
Variantes Regionales,"Conjugación con ""vos""","• Ser: ""vos sos"" (you are) vs. ""tú eres""<br>• Tener: ""vos tenés"" (you have) vs. ""tú tienes""<br>• Saber: ""vos sabés"" (you know) vs. ""tú sabes""<br>• Querer: ""vos querés"" (you want) vs. ""tú quieres"""
Variantes Regionales,"Uso de ""vos"" con posesivos","• Con ""vos"" se usan: ""te"", ""tu"", ""tus"", ""tuyo/a"" (not ""os"", ""vuestro"", etc.)<br>• Ejemplos:<br> - ""Vos y tu hermano"" (You and your brother)<br> - ""Te vi ayer"" (I saw you yesterday)"
Variantes Regionales,"Construcciones especiales con ""vos""","• ""Gracias por vos + infinitivo"":<br> - Estructura menos común, mezclando ""vos"" con construcciones de infinitivo<br> - Ejemplo: ""Gracias por vos ayudarme"" (Thanks for you helping me)<br> - Forma estándar: ""Gracias por tu ayuda"" (Thanks for your help)"
Variantes Regionales,Pronunciación de Ll/Y en Argentina,"• Característica: Sonido ""sh"" (/ʃ/) para ""ll"" y ""y""<br>• Ejemplo: ""Llego"" pronunciado como ""shego""<br>• Fenómeno: ""Sheísmo"" o ""yeísmo rehilado"""
Variantes Regionales,Vocabulario argentino: Indumentaria,"• ""Pulóver"" / ""Buzo"": Suéter, jersey (sweater)<br>• Ejemplo: ""Llevá un buzo que va a hacer frío"" (Take a sweater because it's going to be cold)"
Variantes Regionales,Vocabulario argentino: Dinero,"• ""Biyuya"": Money (colloquial)<br>• Ejemplo: ""No tengo biyuya para salir este fin de semana"" (I don't have money to go out this weekend)"
Variantes Regionales,Vocabulario argentino: Personas,"• ""Pibe"" / ""Piba"": Chico/a, joven (kid, young person)<br>• Ejemplo: ""Los pibes están jugando en la plaza"" (The kids are playing in the square)"
Variantes Regionales,Vocabulario argentino: Estados,"• ""Fiaca"": Pereza, desgana (laziness)<br>• Ejemplo: ""Hoy tengo fiaca, no quiero salir de casa"" (Today I feel lazy, I don't want to leave the house)"
Variantes Regionales,Vocabulario argentino: Situaciones,"• ""Cambalache"": Desorden, confusión (mess, chaos)<br>• Ejemplo: ""La habitación es un cambalache"" (The room is a mess)"
Variantes Regionales,Vocabulario argentino: Autenticidad,"• ""Trucho/a"": Falso, de mala calidad (fake, low quality)<br>• Ejemplo: ""El reloj que compré es trucho"" (The watch I bought is fake)<br>• ""Hacerse el trucha"": Hacerse el listo (to act smart)"
Variantes Regionales,Vocabulario argentino: Tecnología,"• ""Auriculares"": Headphones (Argentina)<br>• ""Audífonos"": Headphones (otros países hispanohablantes)<br>• Ejemplo: ""Me compré unos auriculares nuevos"" (I bought new headphones)"
Variantes Regionales,Vocabulario argentino: Gastronomía,"• ""Un Feca"": Un café (coffee)<br>• Ejemplo: ""Vamos a tomar un feca"" (Let's have a coffee)"
Variantes Regionales,Arruchar (Argentina),"• Significado: Aplastar, apretar, acurrucarse<br>• Traducción: To squish, to cuddle, to curl up<br>• Ejemplo: ""Se arruchó contra mí para entrar en calor"" (He/she cuddled up against me to warm up)"
Términos Educativos,Jardín de infantes/Jardín,"• Significado: Nivel educativo para niños de 3-5 años<br>• Traducción: Kindergarten, preschool<br>• Ejemplo: ""Mi hijo va al jardín de infantes"" (My son goes to kindergarten)"
Términos Educativos,Colonias de natación,"• Significado: Programas intensivos de natación en vacaciones<br>• Traducción: Swimming camps/schools<br>• Ejemplo: ""En verano asistía a las colonias de natación"" (In summer he/she attended swimming camps)"
Términos Educativos,Éramos chicas,"• Significado: Expresión de juventud pasada (femenino)<br>• Traducción: We were young girls<br>• Ejemplo: ""Cuando éramos chicas, jugábamos en la plaza"" (When we were girls, we used to play in the square)"
Términos Educativos,Cobro/Cobrar,"• Significado: Recaudación de pagos por servicios<br>• Traducción: Collection/To collect payment<br>• Ejemplo: ""El cobro de la matrícula es en secretaría"" (Tuition payment collection is in the secretary's office)"
Términos Educativos,Directivos,"• Significado: Personal de dirección en institución educativa<br>• Traducción: Administrators, directors<br>• Ejemplo: ""Los directivos decidieron suspender las clases"" (The administrators decided to cancel classes)"
Términos Educativos,Promedio,"• Significado: Media aritmética de calificaciones<br>• Traducción: Average, grade point average<br>• Ejemplo: ""Necesito un ocho para mantener el promedio"" (I need an eight to maintain my average)"
Términos Educativos,Tacha,"• Significado: Marca que indica error o ausencia<br>• Traducción: Cross-out, mark<br>• Ejemplo: ""El profesor puso una tacha en mi respuesta incorrecta"" (The teacher put a mark on my incorrect answer)"
Términos Educativos,Desnivel,"• Significado: Diferencia de altura en una superficie<br>• Traducción: Unevenness, drop, slope<br>• Ejemplo: ""Cuidado con el desnivel al entrar al aula"" (Be careful with the uneven surface when entering the classroom)"
Términos Educativos,Tocamos feriado,"• Significado: Coincidimos con un día festivo<br>• Traducción: We happen to have a holiday<br>• Ejemplo: ""Este lunes tocamos feriado, no hay clases"" (This Monday is a holiday, there are no classes)"
Términos Educativos,No es tan continua,"• Significado: No ocurre con regularidad constante<br>• Traducción: It's not so continuous/regular<br>• Ejemplo: ""La asistencia no es tan continua durante el invierno"" (Attendance is not so regular during winter)"
Términos Educativos,Ha estado volviéndose,"• Significado: Proceso gradual que comenzó en el pasado y continúa<br>• Traducción: It has been becoming<br>• Ejemplo: ""La educación ha estado volviéndose más tecnológica"" (Education has been becoming more technological)"
Actividad Física,Entrenamiento con pesas,"• Significado: Ejercicio físico que utiliza resistencia para desarrollar fuerza y musculatura<br>• Traducción: Weight training<br>• Ejemplos:<br> - ""Hago entrenamiento con pesas tres veces por semana"" (I do weight training three times a week)<br> - ""El entrenamiento con pesas ha mejorado mi postura"" (Weight training has improved my posture)"
Actividad Física,Acondicionamiento,"• Significado: Preparación física general para mejorar salud y rendimiento<br>• Traducción: Conditioning<br>• Ejemplos:<br> - ""Sesión de acondicionamiento físico"" (Physical conditioning session)<br> - ""Clases de acondicionamiento cardiovascular"" (Cardiovascular conditioning classes)"
Actividad Física,Alzar pesos,"• Significado: Acción de levantar elementos pesados como forma de ejercicio<br>• Traducción: Lifting weights<br>• Ejemplos:<br> - ""Alzar pesos regularmente fortalece los músculos"" (Lifting weights regularly strengthens muscles)<br> - ""No alces pesos sin calentar primero"" (Don't lift weights without warming up first)"
Actividad Física,Rondas / ciclos,"• Significado: Series repetidas de ejercicios en entrenamiento<br>• Traducción: Rounds / cycles<br>• Ejemplos:<br> - ""Hice cuatro rondas de ejercicios"" (I did four rounds of exercises)<br> - ""Este programa tiene ciclos de tres semanas"" (This program has three-week cycles)"
Actividad Física,Caminadora,"• Significado: Máquina de ejercicio para caminar o correr sin desplazarse<br>• Traducción: Treadmill<br>• Ejemplos:<br> - ""Empecé con 20 minutos en la caminadora"" (I started with 20 minutes on the treadmill)<br> - ""La caminadora tiene diferentes niveles de inclinación"" (The treadmill has different incline levels)"
Actividad Física,Trabajar duro,"• Significado: Realizar esfuerzo físico o mental intenso<br>• Traducción: To work hard<br>• Ejemplos:<br> - ""Hay que trabajar duro para ver resultados"" (You have to work hard to see results)<br> - ""El equipo trabajó duro durante toda la temporada"" (The team worked hard throughout the season)"
Actividad Física,Dependiendo de cuán duro jalas,"• Significado: Según la intensidad del esfuerzo realizado<br>• Traducción: Depending on how hard you pull<br>• Ejemplos:<br> - ""Los resultados varían dependiendo de cuán duro jalas en cada ejercicio"" (Results vary depending on how hard you pull in each exercise)"
Actividad Física,"Uso de ""cuán""","• Función: Expresar intensidad delante de adjetivos o adverbios<br>• Traducción: ""How"" (in expressions of intensity)<br>• Equivalente coloquial: ""Qué tan""<br>• Estructura: ""Cuán + adjetivo/adverbio""<br>• Ejemplos correctos:<br> - ""¡Cuán grande es este lugar!"" - ""How big this place is!""<br> - ""No sabes cuán importante fue tu ayuda"" - ""You don't know how important your help was""<br>• Usos incorrectos (para sustantivos se usa ""cuánto""):<br> - ❌ ""Cuán dinero necesitas""<br> - ✅ ""Cuánto dinero necesitas"" - ""How much money do you need"""
Expresiones de Obligación,Ya toca que...,"• Significado: Ha llegado el momento de que ocurra algo<br>• Traducción: It's time that..., It's about time that...<br>• Ejemplos:<br> - ""Ya toca que se responsabilice de sus cosas"" (It's time for him/her to take responsibility for his/her things)"
